query,response
What will you pay if my car is damaged?,We’ll pay the cost of repairing or replacing your car up to its UK market value at the time of the claim.
Who is covered to drive other cars?,Your certificate of motor insurance will show who has cover to drive other cars. Only third-party injury or damage is covered.
Am I covered if I leave my car unlocked or the keys in the car?,"No, we won’t pay a claim for theft or attempted theft if your car is left unlocked, with keys in the car, or with the engine running."
Does Churchill have approved repairers?,"Yes, Churchill customers have access to a national network of approved repairers who will handle all aspects of your repair."
What is DriveSure?,"DriveSure is our telematics insurance product designed to capture how, when, and where your car is driven based on driver-monitoring technology."
What’s the difference between commuting and business use?,Business use covers driving in connection with a business or employment. Commuting covers driving to and from a permanent place of work.
Can I use my car abroad?,"Yes, but your cover depends on your policy type and where you’re driving. You may need a Green Card. See 'Where you can drive' on page 31."
Is my electric car battery covered?,"Yes, your car’s battery is covered if it’s damaged as a result of an insured incident, whether it is owned or leased."
What does excess mean in my policy?,Excess is the amount you may have to pay towards a claim. Details can be found in your car insurance details.
What is a courtesy car?,"A courtesy car is a small hatchback car or similar, provided temporarily by an approved repairer while your car is being repaired."
What should I do if I receive a court notice related to my claim?,Contact us straight away if you receive any communication such as a court notice or legal action threat. We'll handle it or advise you on what to do.
What details are needed to start a claim?,"Provide your personal details, policy number, car registration, and a description of the loss or damage. If in an accident, provide the other driver’s details."
What is an approved windscreen supplier?,An approved windscreen supplier is a repairer authorized by us to repair or replace your car’s windscreen.
How do repairs work if my car is damaged?,"If our approved repairer carries out the repairs, you do not need an estimate and you benefit from our 5-year Guarantee on parts, materials, and workmanship."
What happens if my car is written off?,"If your car is written off, we settle your claim and we have met our responsibilities under the policy. We will not refund any premium if you pay annually."
How does Churchill handle windscreen repairs?,"We may replace your car’s glass with a similar standard glass. You do not need prior approval for non-approved windscreen supplier repairs, but coverage is limited."
What is the process for claiming for windscreen damage?,"For windscreen claims, call 0800 328 9150. You may need to pay an excess, which is shown in your car insurance details."
How are parts replaced in my car?,"We may use parts not made by your car’s manufacturer but of a similar standard, including recycled parts. If a part is unavailable, we pay the cost in the manufacturer’s last UK price list."
What is considered vandalism?,Vandalism is damage caused by a malicious and deliberate act.
What is the Period of Insurance?,"The Period of Insurance is the length of time you have insurance cover under the policy, shown on your certificate of motor insurance and car insurance details."
What should I do if my car is stolen?,"Report the theft to the police and call 0345 878 6261 to start your claim. Have your personal details, policy number, and car registration number ready."
What is the territorial limit of my policy?,"The territorial limits are Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man."
How do I make a claim?,"To make a claim, call 0345 878 6261 with your personal details, policy number, car registration number, and description of the loss or damage."
What are the exclusions for mechanical or electrical failure?,"We don’t cover mechanical or electrical failure, wear and tear, or damage to tyres caused by braking, punctures, cuts, or bursts."
Can I choose my own repairer?,"Yes, but you must give us full details of the incident and approve the repairer’s detailed assessment before work begins. These repairs will not be guaranteed by us."
What happens if I don’t notify Churchill about an accident?,It's important to notify us about any accident as quickly as possible to resolve the claim efficiently and keep costs down.
What is the purpose of a Green Card?,A Green Card is required when travelling abroad with your car to ensure you have the necessary insurance coverage. Contact us before you travel.
How do I contact the motor legal helpline?,"If you have Motor Legal Cover, call 0345 246 2408 for the motor legal helpline."
Are there any charges for storing my car?,"Yes, if your car is stored while dealing with a claim under sections 2 or 4, we’ll cover the reasonable cost of storage."
What happens if my car is leased?,"If your car is leased and can't be repaired, we will pay any claims to the lease company, as they are the legal owners of the car."
What is the Period of Insurance?,"The 'Period of Insurance' is the duration for which your policy provides coverage, as indicated on your certificate of motor insurance and car insurance details."
How can I contact Churchill for help with anything else?,"For any other assistance, call 0345 877 6680. Store this number in your phone for easy access."
What is the 5-year guarantee for repairs?,"The 5-year Guarantee covers parts, materials, and workmanship by our approved repairer unless sold or leased ends."
