Query,Response
What will you pay if my car is damaged?,We’ll pay the cost of repairing or replacing your car up to its UK market value at the time of the claim.
Who is covered to drive other cars?,Your certificate of motor insurance will show who has cover to drive other cars. Only third-party injury or damage is covered.
Am I covered if I leave my car unlocked or the keys in the car?,"No, we won’t pay a claim for theft or attempted theft if your car is left unlocked, with keys in the car, or with the engine running."
What’s not included in my cover?,"Mechanical or electrical failure, wear and tear, damage to tyres caused by braking, and breakdowns are not covered."
Does Churchill have approved repairers?,"Yes, Churchill customers have access to a national network of approved repairers."
What is DriveSure?,DriveSure is our telematics insurance product that captures driving data to understand your driving style and adjust your premium.
What’s the difference between commuting and business use?,"Business use covers driving for business or employment purposes, while commuting covers driving to and from a permanent place of work."
Can I use my car abroad?,Cover depends on the policy type and destination. You may need a Green Card. Details are in ‘Where you can drive’ on page 31.
Are my electric car’s charging cables covered?,Home charger and charging cables are covered under ‘Section 2: Fire and theft’ or ‘Section 4: Accidental damage’.
Is my electric car battery covered?,"Your electric car’s battery is covered if damaged due to an insured incident, whether it’s owned or leased."
How do I make a claim?,"Call 0345 878 6261 for claims or 0800 328 9150 for windscreen claims if you have Essentials, Comprehensive or Comprehensive Plus cover."
What details are needed to start a claim?,"Provide your personal details, policy number, car registration, and a description of the loss or damage. If in an accident, provide the other driver’s details."
What should I do if I get communication from a court?,Contact us immediately if you receive any court communication or legal threats. We’ll guide you on what to do.
Do I need to avoid increasing the amount claimed?,Do not admit liability or negotiate to settle any claim without our written permission to avoid increasing the claim amount.
When do I need to pay the excess?,"You need to pay an excess for some claims, as specified in your car insurance details. No excess if not at fault and costs are recovered."
What happens if my car is leased or bought on hire purchase?,"If the car can’t be repaired and it’s leased, claims are paid to the lease company. For hire purchase, claims go to the legal owner."
How do repairs and replacements work?,Repairs are carried out if financially sensible. Approved repairers provide a 5-year Guarantee. Repairs can be at a chosen repairer but not guaranteed by us.
What is the 5-year guarantee for repairs?,"The 5-year Guarantee covers parts, materials, and workmanship by our approved repairer unless sold or leased ends."
Can I choose my own repairer?,"Repairs can be at a repairer of your choice with our approval, but these repairs are not guaranteed by us."
How are windscreen repairs handled?,Glass may be replaced by a similar standard glass not made by your car’s manufacturer. Non-approved repairs have limited cover.
Can parts from non-manufacturers be used for repairs?,"We may use parts not made by your car’s manufacturer but of similar standard, including recycled parts."
What happens if my car can’t be driven after an accident?,We cover reasonable costs to take your car to the nearest suitable repairer and arrange transport for you and your passengers.
How is my car delivered after repairs?,We cover reasonable delivery costs to return your car after repairs to the address on your car insurance details.
What happens if my car is written off?,"If written off, we settle the claim, fulfilling our policy obligations. No premium refund if paid annually; instalment payments due under credit agreement."
Is there a refund on my premium if my car is written off?,No premium refund if your car is written off and you pay annually. Instalments must be paid if under a credit agreement.
What does ‘Comprehensive with DriveSure’ cover?,It provides the same cover as Comprehensive. All mentions of Comprehensive in the policy booklet also apply to Comprehensive with DriveSure.
What’s included in the policy booklet?,"The policy booklet, car insurance details, and certificate(s) of motor insurance, and, if applicable, the Green Flag and DriveSure documents."
What is an ‘approved windscreen supplier’?,A repairer authorized to repair or replace your car’s windscreen.
What is a ‘courtesy car’?,A temporary small hatchback car provided by an approved repairer on our behalf.
What is a ‘cyber event’?,"An unauthorized, malicious, or criminal act affecting electronic communications, data, or service availability."
What is a ‘certificate of motor insurance’?,"A document proving you have the required insurance by law, showing who can drive the car and its permitted uses."
What is a ‘convertible’?,"A car with a removable or retractable roof, also known as a cabriolet, roadster, soft-top, or hard-top."
What is a ‘market value’?,"The cost to replace your car with one of similar make, model, age, mileage, and condition at the time of the accident or loss."
What is a ‘main driver’?,The person declared as the main user of the car in your car insurance details.
What is a ‘period of insurance’?,"The length of time you have insurance cover under this policy, found on your certificate of motor insurance and car insurance details."
What is a ‘policyholder’?,The person named as the policyholder in your car insurance details.
What are ‘removable electronic equipment’?,"Electronic equipment designed for in-car use but removable, excluding speed assessment detectors or personal portable equipment."
What are the ‘territorial limits’?,"Great Britain, Northern Ireland, the Channel Islands, and the Isle of Man."
What does ‘written off’ mean?,"When your car is so badly damaged it’s no longer roadworthy or uneconomical to repair, based on its market value."
